שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2021,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,2040057100,,699,,2021,Abu Juway'ad,
אבו גוש,472,ABU GHOSH,1,ירושלים,11,ירושלים,111,99,מועצה מקומית,444,2,7881,83,64,7798,,280,,2105263481,686,152,10002475,2021,Abu Ghosh,
אבו סנאן,473,ABU SINAN,2,הצפון,24,עכו,245,99,מועצה מקומית,,2,14455,31,14,14424,,270,,2161876289,71,252,15002143,2021,Abu Sinan,
אבו סריחאן (שבט),935,ABU SUREIHAN,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1865057450,,699,,2021,Abu Surayhan,
אבו עבדון (שבט),958,ABU ABDUN,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1850057900,,699,,2021,Abu 'Abdun,
אבו עמאר (שבט),1042,ABU AMMAR,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1950056700,,699,,2021,Abu 'Ammar,
אבו עמרה (שבט),932,ABU AMRE,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1850057100,,699,,2021,Abu 'Amra,
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,הדרום,62,באר שבע,623,68,מועצה אזורית נווה מדבר,,2,2081,0,0,2081,,290,,1963656105,449,624,15003711,2021,Abu Qureinat,610
אבו קורינאת (שבט),968,ABU QUREINAT,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1970056000,,699,,2021,Abu Kuraynat,
אבו רובייעה (שבט),966,ABU RUBEI'A,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,2050057200,,699,,2021,Abu Rubay'a,
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1920056600,,699,,2021,Abu Rukayyek,
אבו תלול,1375,ABU TULUL,6,הדרום,62,באר שבע,623,68,מועצה אזורית נווה מדבר,,2,2330,8,0,2322,,290,,1933456589,388,624,15003711,2021,Abu Tulul,610
אבטין,652,IBTIN,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,2,2900,2,2,2898,,290,,2109274077,48,301,10004207,2021,Ibtin,310
