Settlement_Council,Population,Rank,City_Cluster_2019
עוזייר,"3,276.15",22,2
רומאנה,"1,212.31",27,2
רומת הייב,"2,046.92",36,2
חמאם,"1,503.41",84,3
תרבין א-צאנע (יישוב)*,"1,138.60",3,1
סעוה,"1,866.72",5,1
אום בטין,"4,277.28",6,1
מכחול,839.027,7,1
אל סייד,"5,875.21",12,1
כחלה,429.25,46,2
דריג'את,"1,243.58",58,2
"גבעת ניל""י",730.439,645,7
אביאל,821.481,735,8
עמיקם,738.955,802,8
נווה,"1,265.36",37,2
בארי,"1,041.24",92,3
בני נצרים,770.363,128,4
צאלים,470.924,139,5
כרם שלום,183.081,146,5
מגן,531.534,210,5
רעים,408.66,225,5
שלומית,365.223,226,5
אבשלום,297.782,262,6
ניר עוז,387.406,270,6
עין השלושה,283.374,277,6
אורים,501.672,282,6
כיסופים,279.476,328,6
ניר יצחק,630.212,360,6
גבולות,357.778,392,7
חולית,168.54,428,7
דקל,350.218,472,7
תלמי אליהו,302.403,474,7
נירים,359.853,505,7
צוחר,443.589,523,7
מבטחים,438.753,567,7
אוהד,407.897,603,7
פרי גן,246.179,633,7
סופה,211.144,650,7
יתד,507.586,681,8
שדי אברהם,358.06,701,8
עמיעוז,209.038,713,8
תלמי יוסף,329.24,768,8
יבול,338.052,782,8
עין הבשור,"1,145.86",825,9
ישע,413.357,826,9
שדה ניצן,335.329,967,9
כנות,438.736,18,1
שדה עוזיהו,"1,571.42",191,5
ינון,"1,196.51",352,6
שתולים,"2,116.28",357,6
עזריקם,"1,495.12",364,6
גבעתי,"1,047.19",386,7
בית עזרא,"1,116.40",549,7
חצב,"1,486.28",568,7
תלמי יחיאל,997.133,605,7
אמונים,993.282,636,7
עזר,817.09,687,8
חצור-אשדוד,639.614,734,8
כפר אחים,876.855,750,8
כפר ורבורג,"1,142.94",790,8
אחווה,157.359,799,8
באר טוביה,"1,289.28",816,8
אורות,496.388,821,8
נווה מבטח,677.118,839,9
אביגדור,826.03,843,9
ערוגות,"1,146.87",866,9
ניר בנים,725.648,883,9
ביצרון,"1,257.70",901,9
תימורים,776.991,926,9
דחי,702.508,65,3
כפר מצר,"2,750.00",71,3
ניין,"1,876.41",76,3
סולם,"2,609.24",78,3
שומרייה,825.47,88,3
חצרים,852.236,194,5
ברוש,563.83,353,6
תדהר,652.665,481,7
נבטים,995.745,585,7
תאשור,446.476,598,7
כרמים,488.866,630,7
להב,567.196,767,8
שובל,819.297,803,8
משמר הנגב,"1,005.18",804,8
דבירה,"1,007.30",845,9
גבעות בר,"1,230.08",888,9
בית קמה,"1,404.74",908,9
גן שלמה,578.406,696,8
בית אלעזרי,"1,567.65",722,8
